,date,city,newDeaths,deaths,newCases,totalCases
3105,2020-03-31,Alfenas/MG,0,0,1,1
3530,2020-04-01,Alfenas/MG,0,0,0,1
3991,2020-04-02,Alfenas/MG,0,0,0,1
4500,2020-04-03,Alfenas/MG,0,0,0,1
5061,2020-04-04,Alfenas/MG,0,0,0,1
5660,2020-04-05,Alfenas/MG,0,0,0,1
6304,2020-04-06,Alfenas/MG,0,0,0,1
7006,2020-04-07,Alfenas/MG,0,0,0,1
7765,2020-04-08,Alfenas/MG,0,0,0,1
8590,2020-04-09,Alfenas/MG,0,0,0,1
9465,2020-04-10,Alfenas/MG,0,0,0,1
10386,2020-04-11,Alfenas/MG,0,0,0,1
11354,2020-04-12,Alfenas/MG,0,0,0,1
12366,2020-04-13,Alfenas/MG,0,0,0,1
13415,2020-04-14,Alfenas/MG,0,0,0,1
14522,2020-04-15,Alfenas/MG,0,0,0,1
15705,2020-04-16,Alfenas/MG,0,0,1,2
16946,2020-04-17,Alfenas/MG,0,0,0,2
18248,2020-04-18,Alfenas/MG,0,0,0,2
19615,2020-04-19,Alfenas/MG,0,0,0,2
21046,2020-04-20,Alfenas/MG,0,0,0,2
22528,2020-04-21,Alfenas/MG,0,0,0,2
24055,2020-04-22,Alfenas/MG,0,0,0,2
25635,2020-04-23,Alfenas/MG,0,0,0,2
27283,2020-04-24,Alfenas/MG,0,0,0,2
29020,2020-04-25,Alfenas/MG,0,0,0,2
30822,2020-04-26,Alfenas/MG,0,0,1,3
32701,2020-04-27,Alfenas/MG,0,0,0,3
34632,2020-04-28,Alfenas/MG,0,0,0,3
36676,2020-04-29,Alfenas/MG,0,0,0,3
38793,2020-04-30,Alfenas/MG,0,0,0,3
40987,2020-05-01,Alfenas/MG,0,0,3,6
43241,2020-05-02,Alfenas/MG,0,0,0,6
45569,2020-05-03,Alfenas/MG,0,0,0,6
47946,2020-05-04,Alfenas/MG,0,0,0,6
50380,2020-05-05,Alfenas/MG,0,0,0,6
52900,2020-05-06,Alfenas/MG,0,0,0,6
55488,2020-05-07,Alfenas/MG,0,0,1,7
58162,2020-05-08,Alfenas/MG,0,0,0,7
60948,2020-05-09,Alfenas/MG,0,0,0,7
63798,2020-05-10,Alfenas/MG,0,0,0,7
66707,2020-05-11,Alfenas/MG,0,0,0,7
69676,2020-05-12,Alfenas/MG,0,0,0,7
72707,2020-05-13,Alfenas/MG,0,0,0,7
75815,2020-05-14,Alfenas/MG,0,0,0,7
78999,2020-05-15,Alfenas/MG,0,0,0,7
82284,2020-05-16,Alfenas/MG,0,0,0,7
85633,2020-05-17,Alfenas/MG,0,0,0,7
89012,2020-05-18,Alfenas/MG,0,0,0,7
92452,2020-05-19,Alfenas/MG,0,0,0,7
95964,2020-05-20,Alfenas/MG,0,0,1,8
99570,2020-05-21,Alfenas/MG,0,0,1,9
103244,2020-05-22,Alfenas/MG,0,0,2,11
107003,2020-05-23,Alfenas/MG,0,0,0,11
110886,2020-05-24,Alfenas/MG,0,0,0,11
114808,2020-05-25,Alfenas/MG,0,0,0,11
118762,2020-05-26,Alfenas/MG,0,0,0,11
122769,2020-05-27,Alfenas/MG,0,0,0,11
126822,2020-05-28,Alfenas/MG,0,0,1,12
130945,2020-05-29,Alfenas/MG,0,0,1,13
135137,2020-05-30,Alfenas/MG,0,0,2,15
139382,2020-05-31,Alfenas/MG,0,0,0,15
143658,2020-06-01,Alfenas/MG,0,0,0,15
147953,2020-06-02,Alfenas/MG,0,0,0,15
152302,2020-06-03,Alfenas/MG,0,0,0,15
156688,2020-06-04,Alfenas/MG,0,0,2,17
161119,2020-06-05,Alfenas/MG,0,0,0,17
165613,2020-06-06,Alfenas/MG,0,0,0,17
170148,2020-06-07,Alfenas/MG,0,0,0,17
174714,2020-06-08,Alfenas/MG,0,0,0,17
179356,2020-06-09,Alfenas/MG,0,0,0,17
184026,2020-06-10,Alfenas/MG,0,0,1,18
188741,2020-06-11,Alfenas/MG,0,0,0,18
193491,2020-06-12,Alfenas/MG,0,0,0,18
198255,2020-06-13,Alfenas/MG,0,0,0,18
203036,2020-06-14,Alfenas/MG,0,0,0,18
207829,2020-06-15,Alfenas/MG,0,0,0,18
212643,2020-06-16,Alfenas/MG,0,0,0,18
217496,2020-06-17,Alfenas/MG,0,0,0,18
222385,2020-06-18,Alfenas/MG,0,0,0,18
227306,2020-06-19,Alfenas/MG,0,0,-1,17
232264,2020-06-20,Alfenas/MG,0,0,2,19
237261,2020-06-21,Alfenas/MG,0,0,0,19
242271,2020-06-22,Alfenas/MG,0,0,3,22
247298,2020-06-23,Alfenas/MG,0,0,2,24
252354,2020-06-24,Alfenas/MG,0,0,1,25
257427,2020-06-25,Alfenas/MG,0,0,6,31
262520,2020-06-26,Alfenas/MG,0,0,3,34
267654,2020-06-27,Alfenas/MG,0,0,5,39
272976,2020-06-28,Alfenas/MG,0,0,3,42
278306,2020-06-29,Alfenas/MG,0,0,0,42
283649,2020-06-30,Alfenas/MG,0,0,3,45
289013,2020-07-01,Alfenas/MG,0,0,4,49
294387,2020-07-02,Alfenas/MG,0,0,6,55
299772,2020-07-03,Alfenas/MG,0,0,1,56
305167,2020-07-04,Alfenas/MG,0,0,3,59
310576,2020-07-05,Alfenas/MG,0,0,0,59
315990,2020-07-06,Alfenas/MG,0,0,1,60
321415,2020-07-07,Alfenas/MG,0,0,5,65
326852,2020-07-08,Alfenas/MG,0,0,5,70
332320,2020-07-09,Alfenas/MG,0,0,4,74
337793,2020-07-10,Alfenas/MG,0,0,1,75
343273,2020-07-11,Alfenas/MG,0,0,8,83
348756,2020-07-12,Alfenas/MG,0,0,3,86
354243,2020-07-13,Alfenas/MG,0,0,0,86
359734,2020-07-14,Alfenas/MG,1,1,0,86
365231,2020-07-15,Alfenas/MG,0,1,11,97
370737,2020-07-16,Alfenas/MG,0,1,4,101
376247,2020-07-17,Alfenas/MG,3,4,0,101
381759,2020-07-18,Alfenas/MG,0,4,11,112
387272,2020-07-19,Alfenas/MG,0,4,8,120
392788,2020-07-20,Alfenas/MG,0,4,4,124
398307,2020-07-21,Alfenas/MG,1,5,2,126
403832,2020-07-22,Alfenas/MG,3,8,8,134
